03-10-2015 12-58-28
Blocking per SRC-DST nodes

S	D	T	Req	Blocked	U	SimTime
4	6	0	83	0	0	1148.3566613841192
4	6	1	17	2	2	1148.3566613841192
10	14	0	73	0	0	1148.492331463617
10	14	1	27	1	1	1148.492331463617
13	2	0	76	0	0	1150.573906326155
13	2	1	24	0	0	1150.573906326155
4	11	0	81	0	0	1151.8229186593449
4	11	1	19	0	0	1151.8229186593449
1	12	0	84	0	0	1152.2369094428918
1	12	1	16	0	0	1152.2369094428918
13	12	0	82	0	0	1156.4774232793961
13	12	1	18	0	0	1156.4774232793961
3	7	0	77	0	0	1157.3541667171824
3	7	1	23	0	0	1157.3541667171824
5	11	0	85	0	0	1158.1893213697733
5	11	1	15	0	0	1158.1893213697733
3	4	0	81	0	0	1158.510586477032
3	4	1	19	0	0	1158.510586477032
6	4	0	87	0	0	1161.8162272307902
6	4	1	13	1	1	1161.8162272307902
3	5	0	79	0	0	1165.8490998904495
3	5	1	21	0	0	1165.8490998904495
2	10	0	74	0	0	1169.6647269535056
2	10	1	26	0	0	1169.6647269535056
14	11	0	83	0	0	1172.7530857567422
14	11	1	17	2	2	1172.7530857567422
2	8	0	82	0	0	1173.0546016388455
2	8	1	18	1	1	1173.0546016388455
5	13	0	82	0	0	1173.2747787753729
5	13	1	18	0	0	1173.2747787753729
8	3	0	77	0	0	1175.0026353317257
8	3	1	23	0	0	1175.0026353317257
6	8	0	87	0	0	1175.9929216822452
6	8	1	13	0	0	1175.9929216822452
12	10	0	79	0	0	1176.152266246927
12	10	1	21	0	0	1176.152266246927
10	8	0	72	0	0	1178.58969607092
10	8	1	28	1	1	1178.58969607092
